t,S_alpha=0.9,I_alpha=0.9,R_alpha=0.9,S_alpha=0.8,I_alpha=0.8,R_alpha=0.8,S_alpha=0.7,I_alpha=0.7,R_alpha=0.7,S_alpha=0.6,I_alpha=0.6,R_alpha=0.6,S_alpha=0.5,I_alpha=0.5,R_alpha=0.5,S_alpha=0.4,I_alpha=0.4,R_alpha=0.4,S_alpha=0.3,I_alpha=0.3,R_alpha=0.3,S_alpha=0.2,I_alpha=0.2,R_alpha=0.2,S_alpha=0.1,I_alpha=0.1,R_alpha=0.1
15.0,0.1482588892732436,0.06775719946026255,0.789717008401684,0.19578735533365033,0.08842395290593974,0.7300599223840702,0.2379206914193385,0.1065951647177256,0.6749344608525271,0.2754892567961697,0.12232428207224859,0.6224701625026753,0.30880098316851623,0.13598453907820607,0.5730773240445528,0.3380263849628363,0.1480909707476208,0.5276309196120981,0.36339921853398394,0.15915875571748211,0.48669897126657025,0.38526673578818893,0.16962035083340998,0.4503573608332133,0.4040543663824162,0.1797957656998013,0.4182776875091845
15.5,0.14722967424289693,0.06411531973449658,0.7943726615872956,0.19483610983253377,0.08523077538032013,0.7341191924871353,0.2369951145640393,0.1038928440131519,0.6783826665771435,0.2746137154559699,0.12011140074777678,0.6253048668319809,0.30802001937361073,0.1342349578492614,0.5753260552467204,0.3373791730249893,0.1467671982210989,0.5293401022247489,0.36291074274022384,0.15822053577372167,0.4879191785399979,0.3849469938296128,0.16902915859511203,0.4511342057921679,0.40390067289626536,0.1795163252667618,0.41864948277071123
16.0,0.14631549215100823,0.060714311602513865,0.7986728388879727,0.19397561528398014,0.08221153085655543,0.7379167192815588,0.2361386619649725,0.10131658508912615,0.6816426487408402,0.27378977465454674,0.11798990449940923,0.6280073449573376,0.30727686002501825,0.1325513160361192,0.5774839656209403,0.33675891763750354,0.14549024801839533,0.5309883874201204,0.36244056894350907,0.1573142410218515,0.48909999731229853,0.38463846779009364,0.16845773740176698,0.4518875380018277,0.4037522041446278,0.17924623970491213,0.4190103152678455
16.5,0.14550487615812882,0.05753757866355099,0.8026455826009034,0.1931973585149761,0.07935502038340797,0.7414720352534603,0.2353452996891942,0.09885853460120288,0.6847278322672797,0.2730132785656585,0.11595415165963413,0.6305866359978325,0.3065686881283807,0.13092952344332257,0.5795570044966342,0.3361637350259556,0.14425718379745275,0.5325795963996026,0.361987474236949,0.1564378443523032,0.4902438012169379,0.3843404267852089,0.167904817037841,0.4526187300152124,0.40360862250743973,0.17898490142107212,0.41936081451412066
17.0,0.14478761680542956,0.05456955246924575,0.8063166510365648,0.19249373739103356,0.076650805335745,0.7448030169261549,0.23460962765519625,0.09651142539398556,0.6876504647479056,0.27228049797961945,0.1139989569820503,0.6330509695215505,0.30589296783939335,0.12936584114296534,0.5815505852678347,0.33559192413163236,0.14306533180332862,0.5341172091815418,0.3615503516075233,0.15558950471855473,0.4913527561986605,0.38405220822136543,0.1673692458286785,0.4533290371914953,0.40346962176964574,0.17873176015245854,0.41970155726145075
17.5,0.14415460663590818,0.05179566414552397,0.8097097021822994,0.19185794879844645,0.07408916192133357,0.7479260406991134,0.2339268011162561,0.09426852759789249,0.6904217388745078,0.27158807717483574,0.11211954636209526,0.6354078550031307,0.30524740955966917,0.12785684314810963,0.5834696464848221,0.3350419441711344,0.14191225065284432,0.5356044037836127,0.3611281958917196,0.15476754507536658,0.492428844104912,0.3837732096058045,0.16684997634086507,0.45401961071687696,0.4033349233705835,0.17848631597943082,0.42003307323416694
18.0,0.14359770630791896,0.04920230750714564,0.812846464385221,0.1912838922584203,0.07166103621461083,0.7508561227447332,0.2332924633590623,0.09212360395212445,0.6930519001272409,0.2709329885414743,0.11031151684435529,0.6376641595429636,0.3046299401802726,0.12639938313031066,0.5853187045689664,0.3345123955021571,0.14079570533446073,0.5370440899476628,0.3607200917832638,0.15397043349068062,0.4934738830107739,0.38350288154241463,0.16634605317454015,0.45469150886043225,0.4032042731936903,0.17824811337024887,0.4203558501056126
18.5,0.1431096289346352,0.046776796510184654,0.8157468944763014,0.19076608673666878,0.06935800038511493,0.7536070446994019,0.23270268780582276,0.09007086903056138,0.695550341740697,0.2703124936653104,0.10857080121040236,0.6398261756282331,0.3040386775989021,0.12499056540793667,0.5871018994860503,0.3340020032314579,0.13971364473743242,0.5384389382943773,0.3603252035447682,0.15319676689889944,0.4944895448069874,0.38324072171394513,0.16585660249107365,0.4553457067451937,0.40307743880624175,0.17801673608034796,0.42067033783405483
19.0,0.14268383991652708,0.04450731922885398,0.8184293238824534,0.19029959862975523,0.06717221057269504,0.7561914666885757,0.23215392803382842,0.08810495205421766,0.6979256886584115,0.26972410982101236,0.10689363654670554,0.6418996804102571,0.3034719088037192,0.12362771956666918,0.5888230344719108,0.33350960310967426,0.13866418215104398,0.5397914056311469,0.35994276614196846,0.15244525706454412,0.4954773704828766,0.38298626968913657,0.16538082298843362,0.45598310486404425,0.4029542070758712,0.17779180276322742,0.4209769524542511
19.5,0.14231446997583455,0.04238289002229287,0.8209105933520915,0.1898799792494043,0.06509636670030888,0.7586210290513415,0.231642974487863,0.08622086298728705,0.7001858719276859,0.2691655810156359,0.10527653628037112,0.6438899877253506,0.3029280709485325,0.12230837818210136,0.590485610711417,0.33303412934309584,0.13764557827540705,0.5411037570063121,0.35957207757178977,0.15171471840512904,0.4964387834583372,0.38273910242321096,0.1649179780906762,0.45660453652953004,0.4028343821040934,0.17757296317715265,0.4212760794045497
