t,S_alpha=0.95,I_alpha=0.95,max_alpha=0.95,S_alpha=0.9,I_alpha=0.9,max_alpha=0.9,S_alpha=0.8,I_alpha=0.8,max_alpha=0.8,S_alpha=0.7,I_alpha=0.7,max_alpha=0.7
66.5,0.06396326813824349,0.0013520616816696035,0.11220184543019635,0.09093211843070895,0.005365904198470115,0.12589254117941673,0.12025000276322181,0.018383769039328732,0.15848931924611132,0.1563674826802733,0.03786839057107119,0.19952623149688795
67.0,0.06418958540828622,0.0013413188196851901,0.11220184543019635,0.09113979648824777,0.0053315998552796815,0.12589254117941673,0.12038956718267806,0.01825935464486464,0.15848931924611132,0.1564660007815176,0.03763975928045659,0.19952623149688795
67.5,0.06441375802329613,0.0013308324264647618,0.11220184543019635,0.09134435345005738,0.005298005592906451,0.12589254117941673,0.1205270535464059,0.018136946989460227,0.15848931924611132,0.15656336626912284,0.037414435587451715,0.19952623149688795
68.0,0.06463581640873188,0.0013205935621476662,0.11220184543019635,0.09154583816715958,0.005265097755061186,0.12589254117941673,0.12066250263432013,0.018016494039784947,0.15848931924611132,0.1566595983242596,0.03719234489566811,0.19952623149688795
68.5,0.06485579040019916,0.0013105936879613503,0.11220184543019635,0.09174429870541974,0.0052328536288986345,0.12589254117941673,0.1207959543481191,0.017897945558426446,0.15848931924611132,0.15675471575216784,0.03697341485768487,0.19952623149688795
69.0,0.06507370925664843,0.0013008246446206794,0.11220184543019635,0.09193978235944024,0.0052012514009800274,0.12589254117941673,0.12092744772995626,0.017781253029168585,0.15848931924611132,0.15684873698944704,0.03675757529126148,0.19952623149688795
69.5,0.06528960167330591,0.0012912786320616327,0.11220184543019635,0.09213233566622449,0.0051702701156201535,0.12589254117941673,0.12105702098078411,0.01766636958585415,0.15848931924611132,0.15694168011126813,0.03654475809923555,0.19952623149688795
70.0,0.06550349579433865,0.0012819481904174476,0.11220184543019635,0.09232200441860823,0.005139889635473265,0.12589254117941673,0.12118471147837143,0.017553249944638055,0.15848931924611132,0.15703356283850567,0.03633489719292029,0.19952623149688795
70.5,0.06571541922525283,0.0012728261821523005,0.11220184543019635,0.09250883367845711,0.0051100906042218005,0.12589254117941673,0.12131055579499232,0.01744185033944843,0.15848931924611132,0.15712440254478344,0.03612792841882576,0.19952623149688795
71.0,0.06592539904502806,0.0012639057752738654,0.11220184543019635,0.09269286778962876,0.005080854411241068,0.12589254117941673,0.12143458971478954,0.017332128460484,0.15848931924611132,0.15721421626343002,0.03592378948853845,0.19952623149688795
71.5,0.06613346181798774,0.0012551804275520442,0.11220184543019635,0.09287415039069842,0.005052163158121511,0.12589254117941673,0.12155684825081345,0.01722404339558634,0.15848931924611132,0.15730302069433696,0.035722419911603284,0.19952623149688795
72.0,0.06633963360540901,0.0012466438716764365,0.11220184543019635,0.09305272442744897,0.005023999626937983,0.12589254117941673,0.12167736566173752,0.017117555574335027,0.15848931924611132,0.1573908322107206,0.03552376093126031,0.19952623149688795
72.5,0.06654393997687362,0.0012382901012901405,0.11220184543019635,0.09322863216512646,0.004996347250162799,0.12589254117941673,0.12179617546825354,0.017012626714723294,0.15848931924611132,0.15747766686578255,0.03532775546289651,0.19952623149688795
73.0,0.06674640602136298,0.0012301133578419843,0.11220184543019635,0.0934019152004599,0.0049691900821259875,0.12589254117941673,0.12191331046914916,0.016909219772278983,0.15848931924611132,0.157563540399266,0.035134348035081524,0.19952623149688795
73.5,0.06694705635810162,0.0012221081182034873,0.11220184543019635,0.0935726144734498,0.004942512771932486,0.12589254117941673,0.12202880275706957,0.01680729889150484,0.15848931924611132,0.15764846824390655,0.034943484733062316,0.19952623149688795
74.0,0.06714591514715042,0.0012142690830007422,0.11220184543019635,0.09374077027892527,0.004916300537751907,0.12589254117941673,0.12214268373396761,0.016706829359518137,0.15848931924611132,0.15773246553177664,0.03475511314459899,0.19952623149688795
74.5,0.06734300609975528,0.0012065911656149412,0.11220184543019635,0.09390642227787224,0.004890539142401837,0.12589254117941673,0.1222549841262455,0.016607777561777556,0.15848931924611132,0.15781554710052234,0.034569182308030945,0.19952623149688795
75.0,0.06753835248845372,0.0011990694818085814,0.11220184543019635,0.09406960950853581,0.0048652148701506534,0.12589254117941673,0.1223657339995914,0.016510110939791035,0.15848931924611132,0.15789772749948966,0.03438564266246691,0.19952623149688795
75.5,0.06773197715694447,0.0011916993399373932,0.11220184543019635,0.09423037039729944,0.004840314504670627,0.12589254117941673,0.12247496277351455,0.016413797950704672,0.15848931924611132,0.15797902099574454,0.034204446000000124,0.19952623149688795
76.0,0.06792390252972313,0.0011844762317108747,0.11220184543019635,0.09438874276934307,0.004815825308076369,0.12589254117941673,0.12258269923558385,0.016318808028677877,0.15848931924611132,0.15805944157997937,0.0340255454198533,0.19952623149688795
76.5,0.0681141506214894,0.0011773958234668782,0.11220184543019635,0.09454476385908445,0.0047917350009877464,0.12589254117941673,0.1226889715553726,0.016225111547956077,0.15848931924611132,0.15813900297231284,0.033848895284363974,0.19952623149688795
77.0,0.06830274304632838,0.0011704539479280884,0.11220184543019635,0.0946984703204063,0.004768031743560188,0.12589254117941673,0.12279380729811448,0.016132679787556514,0.15848931924611132,0.15821771862797965,0.03367445117672584,0.19952623149688795
77.5,0.06848970102667315,0.001163646596410461,0.11220184543019635,0.09484989823667235,0.004744704117428861,0.12589254117941673,0.12289723343807486,0.016041484897487645,0.15848931924611132,0.1582956017429107,0.03350216986040457,0.19952623149688795
78.0,0.0686750454020497,0.0011569699114557309,0.11220184543019635,0.09499908313053783,0.004721741108516415,0.12589254117941673,0.12299927637164185,0.015951499866426976,0.15848931924611132,0.1583726652592051,0.03333200924015292,0.19952623149688795
78.5,0.06885879663761166,0.0011504201798620004,0.11220184543019635,0.09514605997355473,0.004699132090657128,0.12589254117941673,0.1230999619301407,0.015862698490786344,0.15848931924611132,0.15844892187049547,0.03316392832455194,0.19952623149688795
79.0,0.06904097483246732,0.0011439938260881543,0.11220184543019635,0.09529086319557911,0.004676866809993118,0.12589254117941673,0.1231993153923781,0.01577505534509738,0.15848931924611132,0.15852438402720342,0.03299788719000981,0.19952623149688795
79.5,0.06922159972780415,0.0011376874060095214,0.11220184543019635,0.09543352669398089,0.0046549353701009835,0.12589254117941673,0.12329736149691761,0.015688545753653617,0.15848931924611132,0.15859906394169407,0.0328338469461532,0.19952623149688795
