t,S_h=5.0,I_h=5.0,R_h=5.0,S_h=2.5,I_h=2.5,R_h=2.5,S_h=1.25,I_h=1.25,R_h=1.25,S_h=0.625,I_h=0.625,R_h=0.625,S_h=0.3125,I_h=0.3125,R_h=0.3125,S_h=0.15625,I_h=0.15625,R_h=0.15625,S_h=0.078125,I_h=0.078125,R_h=0.078125,S_h=0.0390625,I_h=0.0390625,R_h=0.0390625
5.5859375,,,,,,,,,,,,,,,,,,,,,,0.3040064452057846,0.21043062624041606,0.49790478476676964
5.625,,,,,,,,,,0.30476439779763753,0.21885340904699066,0.5032002081174959,0.304127640985548,0.21509482820453094,0.5031906528358784,0.3038036832168603,0.21264290980586162,0.5020213744157054,0.3036298249884425,0.21100947963786257,0.5004695136903132,0.3035360591110898,0.2098796360982026,0.49890069593872344
5.6640625,,,,,,,,,,,,,,,,,,,,,,0.303069811803431,0.209330851612639,0.4998904887718163
5.703125,,,,,,,,,,,,,,,,,,,0.30269091620493377,0.2099062182076751,0.5024507749967919,0.3026076517851608,0.2087842652865981,0.5008742187333948
5.7421875,,,,,,,,,,,,,,,,,,,,,,0.3021495284269331,0.20823986956106344,0.5018519405628096
5.78125,,,,,,,,,,,,,,,,0.30190881781904755,0.21042832611059614,0.5059867546474371,0.3017684140222231,0.20881175868355623,0.504407877290638,0.3016953919486123,0.20769765681827357,0.502823708285107
5.8203125,,,,,,,,,,,,,,,,,,,,,,0.301245193400715,0.20715761938476887,0.5037895752243643
5.859375,,,,,,,,,,,,,,,,,,,0.300861915681732,0.20772604086171462,0.5063412519720473,0.3007988846463638,0.2066197495343456,0.5047495940166807
5.8984375,,,,,,,,,,,,,,,,,,,,,,0.30035641834373256,0.2060840394909199,0.5057038166228407
5.9375,,,,,,,,,,,,,0.3002935517796143,0.2106711634481474,0.5111210464274378,0.3000794852372817,0.2082485817749598,0.5098565017342156,0.299971031727201,0.2066490036256614,0.5082513193953396,0.2999177479289744,0.20555048143130392,0.5066522943406532
5.9765625,,,,,,,,,,,,,,,,,,,,,,0.2994828275996094,0.20501906748789742,0.5075950778169812
6.015625,,,,,,,,,,,,,,,,,,,0.2990953854363599,0.20558058503987528,0.5101384892700587,0.2990516122983578,0.20448978975129622,0.5085322170594732
6.0546875,,,,,,,,,,,,,,,,,,,,,,0.29862405769740913,0.20396264027282238,0.5094637614480034
