k,h=0.1,h=0.05
192.0,0.9999999749619579,0.9998937678218233
193.0,0.999999977346533,0.9998989493556452
194.0,0.9999999791349649,0.9999034243598903
195.0,0.9999999811221109,0.9999081349339479
196.0,0.9999999826124707,0.9999122031927157
197.0,0.9999999842684257,0.9999164856061293
198.0,0.9999999855103923,0.9999201840835976
199.0,0.9999999868903547,0.9999240772473319
200.0,0.9999999879253268,0.9999274395494998
201.0,0.9999999890752956,0.9999309788393675
202.0,0.9999999899377724,0.9999340355189624
203.0,0.9999999908960798,0.9999372530966192
204.0,0.9999999916148105,0.999940031930351
205.0,0.9999999924134,0.9999429570351749
206.0,0.9999999930123421,0.9999454832758408
207.0,0.9999999936778331,0.999948142490331
208.0,0.9999999941769518,0.9999504390960463
209.0,0.9999999947315275,0.9999528565871426
210.0,0.9999999951474597,0.9999549444297698
211.0,0.9999999956096062,0.9999571421682691
212.0,0.9999999959562164,0.9999590402229301
213.0,0.9999999963413385,0.9999610381829884
214.0,0.9999999966301802,0.9999627637003737
215.0,0.9999999969511155,0.9999645800408962
216.0,0.9999999971918166,0.9999661487039309
217.0,0.9999999974592629,0.9999677999334942
218.0,0.9999999976598473,0.999969225999779
219.0,0.999999997882719,0.9999707271265775
220.0,0.9999999980498727,0.9999720235578948
221.0,0.9999999982355992,0.9999733882260701
222.0,0.9999999983748938,0.999974566806129
223.0,0.9999999985296659,0.9999758074197177
224.0,0.9999999986457447,0.999976878861204
225.0,0.9999999987747216,0.9999780066968276
226.0,0.9999999988714541,0.9999789807387319
227.0,0.9999999989789348,0.9999800060480494
228.0,0.9999999990595448,0.9999808915441523
229.0,0.9999999991491121,0.999981823647007
230.0,0.9999999992162875,0.9999826286463258
231.0,0.9999999992909266,0.9999834760154295
232.0,0.9999999993469061,0.999984207835357
233.0,0.9999999994091054,0.9999849781732796
234.0,0.9999999994557551,0.9999856434660771
235.0,0.9999999995075878,0.9999863437752412
236.0,0.9999999995464626,0.9999869485884908
237.0,0.9999999995896564,0.9999875852348067
238.0,0.9999999996220521,0.9999881350663684
239.0,0.9999999996580471,0.9999887138370864
240.0,0.9999999996850434,0.9999892136850641
241.0,0.9999999997150391,0.9999897398413696
242.0,0.9999999997375361,0.999990194249534
243.0,0.9999999997625325,0.9999906725743634
244.0,0.99999999978128,0.999991085673448
245.0,0.9999999998021103,0.9999915205149582
246.0,0.9999999998177332,0.9999918960602034
247.0,0.9999999998350919,0.9999922913712925
248.0,0.9999999998481112,0.9999926327765756
249.0,0.9999999998625766,0.9999929921508096
250.0,0.999999999873426,0.999993302519674
251.0,0.9999999998854805,0.9999936292239502
252.0,0.9999999998945216,0.9999939113778146
253.0,0.9999999999045671,0.999994208382055
254.0,0.9999999999121012,0.9999944648858586
255.0,0.9999999999204727,0.9999947348900051
256.0,0.999999999926751,0.9999949680755214
257.0,0.9999999999337271,0.9999952135340775
258.0,0.9999999999389592,0.9999954255211086
259.0,0.9999999999447727,0.9999956486654498
260.0,0.9999999999491327,0.9999958413810965
261.0,0.9999999999539774,0.9999960442397532
262.0,0.9999999999576106,0.9999962194359312
263.0,0.9999999999616477,0.9999964038530279
264.0,0.9999999999646755,0.9999965631223927
265.0,0.9999999999680398,0.9999967307744112
266.0,0.9999999999705628,0.9999968755648354
267.0,0.9999999999733665,0.9999970279758542
268.0,0.9999999999754691,0.999997159603589
269.0,0.9999999999778055,0.9999972981591376
270.0,0.9999999999795575,0.9999974178207778
271.0,0.9999999999815046,0.9999975437804307
272.0,0.9999999999829645,0.9999976525637924
273.0,0.9999999999845871,0.9999977670726202
274.0,0.9999999999858038,0.9999978659666285
275.0,0.999999999987156,0.9999979700656064
276.0,0.9999999999881698,0.999998059969286
277.0,0.9999999999892967,0.999998154604756
278.0,0.9999999999901414,0.9999982363354034
279.0,0.9999999999910807,0.9999983223676786
280.0,0.9999999999917843,0.9999983966682915
281.0,0.9999999999925671,0.9999984748794751
282.0,0.9999999999931536,0.9999985424255071
283.0,0.9999999999938058,0.9999986135266032
284.0,0.9999999999942948,0.9999986749321036
285.0,0.9999999999948382,0.9999987395694805
286.0,0.9999999999952457,0.9999987953926764
287.0,0.9999999999956987,0.9999988541539419
288.0,0.9999999999960382,0.9999989049023134
289.0,0.9999999999964156,0.9999989583216568
290.0,0.9999999999966984,0.9999990044565495
291.0,0.999999999997013,0.9999990530195981
292.0,0.9999999999972485,0.9999990949604177
293.0,0.9999999999975107,0.9999991391086515
294.0,0.9999999999977072,0.9999991772366758
295.0,0.9999999999979255,0.9999992173714402
296.0,0.9999999999980893,0.9999992520332855
297.0,0.9999999999982712,0.9999992885194403
298.0,0.9999999999984077,0.9999993200302134
299.0,0.9999999999985593,0.9999993531994494
300.0,0.9999999999986731,0.9999993818456102
301.0,0.9999999999987993,0.9999994119994648
302.0,0.9999999999988942,0.9999994380414321
303.0,0.9999999999989994,0.9999994654540306
304.0,0.9999999999990785,0.9999994891285485
305.0,0.9999999999991662,0.999999514049095
306.0,0.9999999999992321,0.9999995355713861
307.0,0.9999999999993052,0.9999995582264306
308.0,0.99999999999936,0.9999995777921514
309.0,0.9999999999994208,0.9999995983876482
310.0,0.9999999999994665,0.9999996161746683
