t,alpha=0.05,alpha=0.1,alpha=0.15,alpha=0.2,alpha=0.25,alpha=0.3,alpha=0.35,alpha=0.4,alpha=0.45,alpha=0.5,alpha=0.55,alpha=0.6,alpha=0.65,alpha=0.7,alpha=0.75,alpha=0.8,alpha=0.85,alpha=0.9,alpha=0.95
0.26,1.0005611706721627,1.0013014314294306,1.0022406272736544,1.0033921915999722,1.0047594620549423,1.0063313010614814,1.0080771586714337,1.0099418754148646,1.011840753476026,1.0136557467385463,1.0152340590165352,1.01639102450476,1.0169199089656362,1.0166122524877763,1.0152936164935653,1.0128811432044444,1.0094712297307058,1.0054679038139052,1.00176520019538
0.265,1.0005511482291896,1.0012794227222228,1.0022048618887611,1.0033412643432356,1.0046925261750288,1.0062482709938319,1.0079789040995653,1.0098303813836071,1.0117192141223152,1.0135285540521406,1.015106644690438,1.0162695150604613,1.0168105657904052,1.0165206945516438,1.015223871558872,1.012834652850297,1.0094460568114956,1.0054585736239363,1.001763867883484
0.27,1.000541486421746,1.0012581852487459,1.0021703161054147,1.0032920256344053,1.0046277462962887,1.0061678365503652,1.007883627569852,1.0097221601257962,1.0116011256712067,1.0134048498179686,1.0149826006516773,1.0161510998323986,1.0167038973470486,1.01643128218078,1.0151556865299902,1.0127891492928442,1.0094213857603775,1.0054494137087493,1.0017625551037561
0.275,1.0005321659743904,1.00123767850693,1.0021369270159937,1.0032443899627195,1.0045650152683203,1.0060898711921504,1.0077911867406097,1.0096170583585065,1.0114863298471237,1.0132844774682328,1.014861779005948,1.0160356462064972,1.0165997918265295,1.0163439280642053,1.0150889997900188,1.012744594884542,1.0093971982760956,1.0054404183108012,1.001761261362128
0.28,1.000523168966594,1.001217864804231,1.0021046360181851,1.0031982775898012,1.0045042330731928,1.0060142566835069,1.0077014484743168,1.0095149325622692,1.0113746783006834,1.013167290097705,1.0147440408346522,1.0159230294764254,1.0164981439626144,1.0162585498960537,1.0150237531724493,1.0127009540264662,1.0093734770138652,1.005431581950709,1.001759986178889
0.28500000000000003,1.0005144787154798,1.0011987090170549,1.0020733884502953,1.0031536140660575,1.0044453062345795,1.0059408824120046,1.0076142880926409,1.009415648200321,1.0112660318247737,1.013053149710447,1.014629255504589,1.0158131322441046,1.0163988545435103,1.0161750700083985,1.0149598917131264,1.0126581930248166,1.0093502055209669,1.00542289941012,1.001758729088545
0.29,1.000506079670547,1.001180178374555,1.0020431332631807,1.0031103297951935,1.0043881472851306,1.0058696447748425,1.0075295887034814,1.0093190790125646,1.0111602596448532,1.012941926537068,1.0145173000415484,1.015705843875031,1.0163018299675517,1.0160934150366874,1.0148973634238303,1.0126162799596203,1.0093273681776054,1.0054143657158336,1.0017574896396122
0.295,1.0004979573189794,1.0011622422639725,1.002013822724565,1.0030683596413248,1.0043326742854493,1.0058004466241117,1.007447240591955,1.0092251063759419,1.0110572387753194,1.0128334984148488,1.0144080585609192,1.015601060002572,1.0162069818383084,1.0160135156144185,1.014836119085293,1.0125751845644395,1.009304950142525,1.0054059761250775,1.0017562673943692
0.3,1.0004900981003129,1.0011448720550433,1.0019854121520644,1.0030276425738798,1.0042788103889124,1.0057331967644216,1.0073671406682996,1.0091336187239826,1.0109568534347981,1.0127277502240049,1.0143014217492807,1.0154986820761054,1.016114226595023,1.0159353060940568,1.0147761120576821,1.0125348781159824,1.0092829373029393,1.0053977261118425,1.0017550619285596
0.305,1.0004824893294,1.001128040941329,1.001957859671708,1.0029881213461054,1.0042264834472818,1.0056678094971672,1.0072891919665412,1.009044511019186,1.010858994514102,1.012624573374173,1.0141972863916537,1.0153986169484763,1.0160234851747887,1.0158587242915589,1.0147172981068366,1.0124953333326787,1.0092613162283721,1.0053896113541885,1.0017538728310753
0.31,1.0004751191267438,1.001111723796592,1.0019311259991484,1.0029497422035085,1.0041756256526928,1.00560420420643,1.0072133031885115,1.0089576842726569,1.0107635590913475,1.012523865335929,1.0140955549397381,1.0153007764987925,1.0159346827032811,1.0157837112521828,1.0146596352447164,1.0124565242813663,1.0092400741280547,1.0053816277224388,1.001752699703617
0.315,1.0004679763553916,1.0010958970445736,1.0019051742411063,1.0029124546190045,1.0041261732121471,1.0055423049821162,1.007139388288471,1.008873045106082,1.0106704499893693,1.0124255292127329,1.0139961351169915,1.0152050772870154,1.015847748211222,1.0157102110354927,1.0146030835827136,1.0124184262913176,1.0092191988115575,1.0053737712682023,1.001751542160345
0.32,1.0004610505636773,1.001080538540734,1.001879969714893,1.0028762110519698,1.0040780660510908,1.005482040276456,1.0070673660941378,1.008790505351725,1.0105795753711524,1.0123294733492472,1.0138989395568898,1.0151114402372317,1.0157626143740797,1.0156381705177244,1.014547605196598,1.0123810158749433,1.0091986786523695,1.0053660382141425,1.0017503998275104
0.325,1.00045433193319,1.0010656274646916,1.0018554797841104,1.0028409667286897,1.0040312475430806,1.0054233425904413,1.0069971599604397,1.008709981686607,1.0104908483694854,1.0122356109724373,1.0138038854711207,1.0150197903468163,1.015679217272777,1.015567539209879,1.0144931640020318,1.0123442706545593,1.00917850255417,1.0053584249444474,1.001749272343091
0.33,1.0004478112314183,1.001051144222245,1.0018316737088588,1.0028066794420167,1.003985664262886,1.0053661481871874,1.0069286974526965,1.00863139529748,1.0104041867474634,1.0121438598622468,1.0137108943448208,1.014930056419026,1.015597496173427,1.015498269090066,1.014439725639667,1.012308169294666,1.0091586599195521,1.0053509279959356,1.001748159356429
0.335,1.0004414797685897,1.0010370703559932,1.0018085225089732,1.0027733093682962,1.0039412657606661,1.0053103968295407,1.0068619100563476,1.0085546715735814,1.0103195125868663,1.0120541420490268,1.01361989165629,1.0148421708168132,1.0155173933243253,1.015430314448803,1.0143872573689765,1.0122726914392715,1.0091391406209995,1.0053435440497565,1.0017470605278556
