t,S_alpha=0.9,I_alpha=0.9,R_alpha=0.9,S_alpha=0.8,I_alpha=0.8,R_alpha=0.8,S_alpha=0.7,I_alpha=0.7,R_alpha=0.7,S_alpha=0.6,I_alpha=0.6,R_alpha=0.6
28.5,0.1411520840047711,0.020192068402261665,0.8440787470030896,0.1871264498670306,0.040618587221764466,0.7849131559360181,0.22654684363652383,0.06224368999967108,0.7273845363722028,0.26252180548952575,0.0836165229224604,0.6696748038321179
29.0,0.14125031402599492,0.019518886968867204,0.8446451647209738,0.1871275922860796,0.03974371248633014,0.7857449751872079,0.22640666891808642,0.06130314867458386,0.7283835974440166,0.26227964272719756,0.0827149147219371,0.6707112864258953
29.5,0.1413566787727753,0.018881332844820593,0.845167964507484,0.18713756875873622,0.038902971822054475,0.7865346439836464,0.22627577124341694,0.06039179838713167,0.7293459459838698,0.2620464521331583,0.08183659598368692,0.6717180118857257
30.0,0.1414703888344001,0.018277139194831243,0.8456501980826137,0.18715569856948058,0.03809461733010186,0.787284562216397,0.22615359370214458,0.059508357107410696,0.7302733552845009,0.2618217921715402,0.08098064911259928,0.6726962407919648
30.5,0.14159072140421453,0.017704199071575867,0.8460946908784001,0.187181352900267,0.037317007235054676,0.7879969731973544,0.22603961762545574,0.058651613561348424,0.7311674931047542,0.26160524877287056,0.08014620441861271,0.6736471637569924
31.0,0.14171701443393564,0.017160553400542757,0.8465040598879628,0.18721395050078946,0.03656859861886505,0.7886739751617089,0.22593335955209126,0.05782042260201789,0.7320299290980735,0.26139643326630213,0.07933243702550552,0.6745719062069843
31.5,0.1418486613419685,0.01664437989613833,0.8468807300300981,0.18725295376022294,0.03584794069702403,0.7893175318340674,0.22583436846939087,0.05701370092722051,0.7328621416388807,0.26119498049437756,0.07853856401611553,0.6754715327765214
32.0,0.14198510621824498,0.016153982837866322,0.8472269491580343,0.18729786513909583,0.03515366859423585,0.7899294821416089,0.22574222330127025,0.05623042311446536,0.7336655241019879,0.26100054709186665,0.07776384179314999,0.6763470513522141
32.5,0.1421258394746689,0.015687783640247876,0.8475448018295336,0.1873482239246486,0.03448449758028872,0.7905115491496182,0.22565653061821658,0.05546961794709988,0.7344413906445615,0.260812809912325,0.07700756363682346,0.6771994167976669
33.0,0.14227039389598367,0.015244312154820578,0.8478362219451343,0.18740360327715394,0.03383921772996447,0.7910653482875443,0.2255769225471873,0.05473036500771867,0.7351909815351595,0.260631464587852,0.07626905744240285,0.6780295343887707
33.5,0.14241834105091128,0.014822198647008723,0.8481030043518399,0.18746360753827926,0.03321668897374194,0.7915923949272475,0.22550305486174926,0.05401179151711925,0.7359154680699339,0.2604562242091291,0.07554768362238233,0.6788382629853011
34.0,0.14256928802782137,0.01442016639487908,0.8483468155009399,0.1875278697757451,0.032615836508735105,0.7920941113693178,0.2254346052349497,0.053313069399008664,0.7366159571121271,0.2602868181142366,0.0748428331594768,0.6796264179621812
34.5,0.14272287446307472,0.014037024860775656,0.8485692032407798,0.18759604954132128,0.03203564654178259,0.7925718332880956,0.22537127163930287,0.05263341255241513,0.7372934952874761,0.26012299077597606,0.07415392579793004,0.6803947739214127
35.0,0.14287876983360362,0.013671663390562331,0.8487716058181538,0.1876678308216624,0.03147516233888143,0.7930268156813545,0.22531277087994397,0.051972074315342065,0.7379490728649898,0.259964500778526,0.07348040836180615,0.6811440672036216
35.5,0.14303667098830924,0.013323045398695369,0.8489553601554818,0.18774292016365246,0.030933480557252837,0.7934602383663627,0.22525883724847465,0.05132834510463547,0.738583627349764,0.2598111198752092,0.07282175318998091,0.6818749982162896
36.0,0.14319629989552635,0.01299020300060442,0.8491217094650061,0.18782104495785,0.030409747838249696,0.7938732110602325,0.22520922128632437,0.05070155021833389,0.739198046811959,0.25966263212001356,0.07217745667849151,0.6825882335941154
36.5,0.14335740158616203,0.012672232056888978,0.8492718102558768,0.18790195186532058,0.029903157641081653,0.7942667780790286,0.22516368864760336,0.050091047787948095,0.7397931729738483,0.2595188330662473,0.07154703792174746,0.6832844082054693
37.0,0.14351974227421482,0.012368287596647052,0.8494067387850615,0.1879854053746508,0.02941294729895405,0.7946419226870155,0.22512201905244342,0.04949622686918477,0.7403698040747881,0.2593795290263891,0.07093003744486588,0.6839641270175925
37.5,0.14368310763823275,0.012077579589855031,0.8495274969985834,0.18807118647727714,0.02893839528070232,0.7949995711245956,0.2250840053227305,0.04891650566059842,0.7409286975321637,0.25924453638777606,0.07032601602007965,0.6846279668320072
38.0,0.14384730124892778,0.011799369041123891,0.8496350180055298,0.18815909145044862,0.02847881864236736,0.7953405963409949,0.2250494524929355,0.04835132984053666,0.7414705724147287,0.2591136809793039,0.06973455356078204,0.6852764779005797
